id,title,area,priority,status,verification_date,verifier,notes
PERF-002,首次连接时间 ≤ 2 秒,性能与优化,P1,TODO,,本地网络环境
PERF-003,消息延迟 ≤ 100ms (P95),性能与优化,P1,TODO,,输入 → 首个 delta
PERF-004,内存占用 ≤ 50MB,性能与优化,P1,TODO,,长会话测试
PERF-005,消息批量更新,性能与优化,P1,TODO,,100ms window
PERF-006,虚拟滚动,性能与优化,P2,TODO,,react-window
PERF-007,Bundle 大小 ≤ 60KB,性能与优化,P1,TODO,,依赖优化
PERF-008,无内存泄漏,性能与优化,P0,TODO,,清理监听器+定时器
SEC-001,authToken 不暴露到日志,安全,P0,TODO,,敏感信息过滤
SEC-002,WebSocket URL 使用 WSS,安全,P0,TODO,,生产环境 TLS
SEC-003,XSS 防护,安全,P0,TODO,,消息内容转义
SEC-004,CORS 配置正确,安全,P0,TODO,,AllowedOrigins
SEC-005,会话隔离,安全,P0,TODO,,JWT user_id 验证
DOC-001,Transport 接口 API 文档,文档与示例,P0,TODO,,TSDoc 注释
DOC-002,useHotPlexChat Hook 文档,文档与示例,P0,TODO,,使用示例
DOC-003,快速开始指南,文档与示例,P0,TODO,,README.md
DOC-004,完整示例应用,文档与示例,P1,TODO,,examples/nextjs-chat
DOC-005,错误码映射表,文档与示例,P1,TODO,,AEP → 用户提示
DOC-006,性能优化指南,文档与示例,P2,TODO,,最佳实践
DOC-007,故障排查指南,文档与示例,P1,TODO,,常见问题 FAQ
DOC-008,迁移指南,文档与示例,P2,TODO,,Breaking Changes
TEST-001,单元测试覆盖率 ≥ 80%,测试覆盖,P0,TODO,,Vitest + @testing-library
TEST-002,Transport 适配器单元测试,测试覆盖,P0,TODO,,事件映射测试
TEST-003,Hook 单元测试,测试覆盖,P0,TODO,,renderHook + act
TEST-004,集成测试 (E2E),测试覆盖,P1,TODO,,Playwright/Cypress
TEST-005,错误场景测试,测试覆盖,P0,TODO,,断网/超时/认证失败
TEST-006,性能回归测试,测试覆盖,P2,TODO,,Benchmark CI
TEST-007,可访问性测试 (a11y),测试覆盖,P2,TODO,,axe-core
