id,title,area,priority,status,verification_date,verifier,notes
SEC-006,JTI 黑名单必须正确撤销 Token,安全,P0,TODO,,,
SEC-007,多 Bot 隔离通过 ES256 + bot_id 实现,安全,P0,TODO,,,
SEC-008,API Key 比较使用恒定时间,安全,P1,TODO,,,
SEC-010,exec.Command 必须使用 []string 参数,安全,P0,TODO,,,
SEC-011,命令白名单只允许 claude 和 opencode,安全,P0,TODO,,,
SEC-012,双层验证: 句法 + 语义,安全,P0,TODO,,,
SEC-013,SafePathJoin 完整安全流程,安全,P0,TODO,,,
SEC-014,危险字符检测作为纵深防御,安全,P1,TODO,,,
SEC-015,BaseDir 白名单必须限制会话工作目录,安全,P1,TODO,,,
SEC-016,Model 白名单限制 AI 模型,安全,P1,TODO,,,
SEC-020,仅允许 http/https 协议,安全,P0,TODO,,,
SEC-021,所有私有 IP 段和保留地址必须被阻止,安全,P0,TODO,,,
SEC-022,DNS 重新绑定攻击防护,安全,P0,TODO,,,
SEC-023,URL 验证流程完整链路,安全,P0,TODO,,,
SEC-024,SSRFValidator 日志记录被阻止的请求,安全,P1,TODO,,,
SEC-030,BaseEnvWhitelist 限制基础环境变量,安全,P0,TODO,,,
SEC-031,Worker 类型特定白名单正确注入,安全,P1,TODO,,,
SEC-032,ProtectedEnvVars 绝对不可被覆盖,安全,P0,TODO,,,
SEC-033,敏感模式检测正确识别秘密信息,安全,P0,TODO,,,
SEC-034,保护变量始终被剥离,安全,P0,TODO,,,
SEC-035,HotPlex 必需变量正确注入,安全,P1,TODO,,,
SEC-036,Go 运行时环境变量白名单受保护,安全,P1,TODO,,,
SEC-037,嵌套 Agent 调用被阻止,安全,P1,TODO,,,
SEC-040,AllowedTools 白名单限制可用工具,安全,P0,TODO,,,
SEC-041,BuildAllowedToolsArgs 正确构建 CLI 参数,安全,P2,TODO,,,
SEC-042,工具分类 (Safe/Risky/Network/System),安全,P1,TODO,,,
SEC-043,生产环境工具集无 Risky/Network 工具,安全,P1,TODO,,,
SEC-044,Dev 环境工具集包含所有工具,安全,P2,TODO,,,
SEC-045,Tool 调用通过 --allowed-tools 传递给 Worker,安全,P2,TODO,,,
ADMIN-001,GET /admin/sessions 返回会话列表,Admin API,P0,TODO,,,
ADMIN-002,GET /admin/sessions/{id} 获取会话详情,Admin API,P0,TODO,,,
ADMIN-003,DELETE /admin/sessions/{id} 强制终止会话,Admin API,P0,TODO,,,
ADMIN-004,GET /admin/stats 统计摘要,Admin API,P0,TODO,,,
ADMIN-005,GET /admin/metrics Prometheus 格式指标,Admin API,P0,TODO,,,
ADMIN-006,GET /admin/health Gateway 健康检查,Admin API,P0,TODO,,,
ADMIN-007,GET /admin/health/workers Worker 健康检查,Admin API,P0,TODO,,,
ADMIN-008,GET /admin/logs 查询日志,Admin API,P1,TODO,,,
ADMIN-009,POST /admin/config/validate 验证配置,Admin API,P1,TODO,,,
ADMIN-010,GET /admin/debug/sessions/{id} 会话调试状态,Admin API,P1,TODO,,,
ADMIN-011,Admin API 认证中间件完整认证链,Admin API,P0,TODO,,,
ADMIN-012,Admin API 分页行为,Admin API,P1,TODO,,,
ADMIN-013,Admin API 权限矩阵验证,Admin API,P0,TODO,,,
CONFIG-001,配置加载 defaults.yaml + 环境覆盖,配置管理,P0,TODO,,,
CONFIG-002,ExpandEnv ${VAR} 和 ${VAR:-default} 语法支持,配置管理,P0,TODO,,,
CONFIG-003,配置验证必填字段、类型、业务规则,配置管理,P0,TODO,,,
CONFIG-004,Secret Provider 三种实现,配置管理,P0,TODO,,,
CONFIG-005,配置继承循环检测,配置管理,P1,TODO,,,
CONFIG-006,配置热更新 fsnotify + 500ms 防抖,配置管理,P1,TODO,,,
CONFIG-007,热更新动态字段与静态字段区分,配置管理,P1,TODO,,,
CONFIG-008,配置变更审计日志,配置管理,P1,TODO,,,
CONFIG-009,配置回滚,配置管理,P2,TODO,,,
CONFIG-010,配置深度合并策略,配置管理,P0,TODO,,,
OBS-001,日志格式 OTel Log Data Model 兼容,可观测性,P0,TODO,,,
OBS-002,日志级别规范 DEBUG/INFO/WARN/ERROR/FATAL,可观测性,P0,TODO,,,
OBS-003,Prometheus 指标命名规范,可观测性,P0,TODO,,,
OBS-004,RED 方法指标 API 层,可观测性,P0,TODO,,,
OBS-005,USE 方法指标基础设施层,可观测性,P0,TODO,,,
OBS-006,OTel Span 创建与上下文注入,可观测性,P0,TODO,,,
OBS-007,Tail Sampling 尾部采样策略,可观测性,P1,TODO,,,
OBS-008,SLO 定义与测量,可观测性,P1,TODO,,,
OBS-009,告警规则症状告警而非根因告警,可观测性,P1,TODO,,,
OBS-010,Grafana Dashboard 核心面板,可观测性,P1,TODO,,,
RES-001,Session 所有权 JWT sub claim,资源管理,P0,TODO,,,
RES-002,权限矩阵 Owner vs Admin 隔离,资源管理,P0,TODO,,,
RES-003,输出限制 10MB/20MB/1MB,资源管理,P0,TODO,,,
RES-004,并发限制 全局 20 / per_user 5,资源管理,P0,TODO,,,
RES-005,内存限制 RLIMIT_AS,资源管理,P0,TODO,,,
RES-006,Backpressure 队列容量与丢弃策略,资源管理,P0,TODO,,,
RES-007,错误码完整定义,资源管理,P0,TODO,,,
RES-008,per_user max_total_memory_mb 限制,资源管理,P1,TODO,,,
RES-009,Worker 可用性 99% 崩溃率控制,资源管理,P1,TODO,,,
RES-010,Admin 强制终止不受并发限制影响,资源管理,P1,TODO,,,
EVT-001,EventStore Schema 完整捕获所有事件类型,消息持久化 (EventStore),P0,TODO,,,
EVT-002,Append-Only 触发器阻止 UPDATE 和 DELETE,消息持久化 (EventStore),P0,TODO,,,
EVT-003,MessageStore 接口定义与编译时验证,消息持久化 (EventStore),P0,TODO,,,
EVT-004,Gateway 集成 EventStore 为可选插件,消息持久化 (EventStore),P0,TODO,,,
EVT-005,EventWriter 异步批量写入,消息持久化 (EventStore),P1,TODO,,,
EVT-006,Ownership 验证无循环依赖,消息持久化 (EventStore),P1,TODO,,,
EVT-007,SQLite WAL 模式启用,消息持久化 (EventStore),P0,TODO,,,
EVT-008,Audit Log 表与哈希链防篡改,消息持久化 (EventStore),P2,TODO,,,
EVT-009,PostgreSQL JSONB 存储（v1.1）,消息持久化 (EventStore),P1,TODO,,,
EVT-010,MessageStore.Query 时序一致性,消息持久化 (EventStore),P1,TODO,,,
EVT-011,EventStore 插件加载与配置解析,消息持久化 (EventStore),P1,TODO,,,
TEST-001,单元测试使用表驱动模式,测试策略,P0,TODO,,,
TEST-002,Mock 框架使用 testify/mock,测试策略,P0,TODO,,,
TEST-003,Testcontainers 集成测试,测试策略,P1,TODO,,,
TEST-004,WebSocket Mock Server 用于集成测试,测试策略,P1,TODO,,,
TEST-005,E2E 冒烟测试（Playwright）,测试策略,P0,TODO,,,
TEST-006,覆盖率目标 80%+,测试策略,P0,TODO,,,
TEST-007,CI/CD 测试分层执行,测试策略,P0,TODO,,,
TEST-008,安全测试：命令注入 + Fuzzing,测试策略,P1,TODO,,,
TEST-009,性能测试：k6 阈值验证,测试策略,P2,TODO,,,
TEST-010,测试基础设施文档化,测试策略,P1,TODO,,,
TEST-011,Benchmark 基准测试,测试策略,P2,TODO,,,
